Avatar;2009;A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.;760 507 625;2 086 889 714;2 847 397 339
Avengers: Endgame;2019;After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.;858 373 000;1 939 128 328;2 797 501 328
Titanic;1997;A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.;659 363 944;1 542 283 320;2 201 647 264
Star Wars: Episode VII - The Force Awakens;2015;As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.;936 662 225;1 132 859 475;2 069 521 700
Avengers: Infinity War;2018;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;678 815 482;1 369 544 272;2 048 359 754
Spider-Man: No Way Home;2021;With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.;804 792 418;1 096 439 073;1 901 231 491
Jurassic World;2015;A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.;653 406 625;1 018 130 819;1 671 537 444
The Lion King;2019;After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.;543 638 043;1 119 612 444;1 663 250 487
The Avengers;2012;Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.;623 357 910;895 457 605;1 518 815 515
Furious 7;2015;Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.;353 007 020;1 162 334 379;1 515 341 399
Frozen II;2019;Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.;477 373 578;972 653 355;1 450 026 933
Avengers: Age of Ultron;2015;When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.;459 005 868;943 803 672;1 402 809 540
Black Panther;2018;T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.;700 426 566;647 171 407;1 347 597 973
Harry Potter and the Deathly Hallows: Part 2;2011;Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.;381 447 587;960 912 354;1 342 359 942
Star Wars: Episode VIII - The Last Jedi;2017;The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.;620 181 382;712 517 448;1 332 698 830
Jurassic World: Fallen Kingdom;2018;When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.;417 719 760;892 746 536;1 310 466 296
Frozen;2013;When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.;400 953 009;880 555 091;1 281 508 100
Beauty and the Beast;2017;A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.;504 481 165;769 095 055;1 273 576 220
Incredibles 2;2018;The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.;608 581 744;634 507 500;1 243 089 244
The Fate of the Furious;2017;When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.;226 008 385;1 009 996 733;1 236 005 118
Iron Man 3;2013;When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.;409 013 994;805 797 258;1 214 811 252
Minions;2015;Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.;336 045 770;823 398 892;1 159 444 662
Captain America: Civil War;2016;Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.;408 084 349;745 253 147;1 153 337 496
Aquaman;2018;Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.;335 104 314;813 424 079;1 148 528 393
The Lord of the Rings: The Return of the King;2003;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.;378 251 207;768 185 007;1 146 436 214
Spider-Man: Far from Home;2019;Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.;390 532 085;741 395 911;1 131 927 996
Captain Marvel;2019;Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.;426 829 839;701 633 133;1 128 462 972
Transformers: Dark of the Moon;2011;The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.;352 390 543;771 403 536;1 123 794 079
Skyfall;2012;James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.;304 360 277;804 209 222;1 108 569 499
Transformers: Age of Extinction;2014;When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.;245 439 076;858 614 996;1 104 054 072
Jurassic Park;1993;A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.;404 214 720;695 484 283;1 099 699 003
The Dark Knight Rises;2012;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.;448 149 584;633 003 513;1 081 153 097
Joker;2019;A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.;335 477 657;738 968 073;1 074 445 730
Star Wars: Episode IX - The Rise of Skywalker;2019;In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.;515 202 542;558 946 737;1 074 149 279
Toy Story 4;2019;When a new toy called "Forky" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.;434 038 008;639 356 585;1 073 394 593
Toy Story 3;2010;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;415 004 880;651 965 931;1 066 970 811
Pirates of the Caribbean: Dead Man's Chest;2006;Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.;423 315 812;642 863 935;1 066 179 747
The Lion King;1994;Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.;422 783 777;640 828 028;1 063 611 805
Rogue One: A Star Wars Story;2016;In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.;532 177 324;523 880 396;1 056 057 720
Aladdin;2019;A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.;355 559 216;695 134 737;1 050 693 953
Pirates of the Caribbean: On Stranger Tides;2011;Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.;241 071 802;804 642 000;1 045 713 802
Despicable Me 3;2017;Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.;264 624 300;770 175 831;1 034 800 131
Finding Dory;2016;Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.;486 295 561;542 275 381;1 028 570 942
Star Wars: Episode I - The Phantom Menace;1999;Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.;474 544 677;552 538 030;1 027 082 707
Alice in Wonderland;2010;Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.;334 191 110;691 277 106;1 025 468 216
Zootopia;2016;In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.;341 268 248;682 852 856;1 024 121 104
Harry Potter and the Sorcerer's Stone;2001;An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.;318 886 962;703 403 056;1 022 290 019
Top Gun: Maverick;2022;After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground;534 469 160;486 100 000;1 020 569 160
The Hobbit: An Unexpected Journey;2012;A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.;303 030 651;714 000 000;1 017 030 651
The Dark Knight;2008;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.;534 987 076;471 115 201;1 006 102 277
Harry Potter and the Deathly Hallows: Part 1;2010;As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.;296 374 621;680 695 761;977 070 383
Despicable Me 2;2013;When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.;368 065 385;602 700 620;970 766 005
The Jungle Book;2016;After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.;364 001 123;602 553 806;966 554 929
Jumanji: Welcome to the Jungle;2017;Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.;404 540 171;558 002 774;962 542 945
The Hobbit: The Battle of the Five Armies;2014;Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.;255 138 261;707 063 077;962 201 338
Pirates of the Caribbean: At World's End;2007;Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.;309 420 425;651 576 067;960 996 492
The Hobbit: The Desolation of Smaug;2013;The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.;258 387 334;700 640 658;959 027 992
Doctor Strange in the Multiverse of Madness;2022;Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.;409 965 571;540 832 836;950 798 407
The Lord of the Rings: The Two Towers;2002;While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.;342 952 511;604 943 730;947 896 241
Harry Potter and the Order of the Phoenix;2007;With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.;292 382 727;649 818 982;942 201 710
Finding Nemo;2003;After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.;380 843 261;559 509 384;940 352 645
Harry Potter and the Half-Blood Prince;2009;As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as "the property of the Half-Blood Prince" and begins to learn more about Lord Voldemort's dark past.;302 334 374;632 148 664;934 483 039
Shrek 2;2004;Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.;441 226 247;487 534 523;928 760 770
Bohemian Rhapsody;2018;The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid.;216 668 042;694 141 269;910 809 311
