,Title,Genre,Year,Metascore,Userscore,Director,Duration
0,The Godfather,Drama,1972,100,9.2,Francis Ford Coppola,175
1,Rear Window,Mystery,1954,100,8.7,Alfred Hitchcock,112
2,Casablanca,Drama,1943,100,8.8,Michael Curtiz,102
3,Boyhood,Drama,2014,100,7.4,Richard Linklater,165
4,Three Colors: Red,Drama,1994,100,8.5,Krzysztof Kieslowski,99
5,Notorious,Drama,1946,100,7.9,Alfred Hitchcock,101
6,Singin' in the Rain,Comedy,1952,99,8.7,Gene Kelly and Stanley Donen,103
7,City Lights,Drama,1931,99,8.9,Charles Chaplin,87
8,Moonlight,Drama,2016,99,7.1,Barry Jenkins,111
9,Intolerance,Drama,1916,99,7.1,D.W. Griffith,197
10,Pinocchio,Fantasy,1940,99,8.1,Ben Sharpsteen and Bill Roberts and Hamilton Luske and Jack Kinney and Norman Ferguson and T. Hee and Wilfred Jackson,88
11,Touch of Evil,Drama,1958,99,8.4,Orson Welles,95
12,The Lady Vanishes,Mystery,1938,98,7.7,Alfred Hitchcock,96
13,The Treasure of the Sierra Madre,Adventure,1948,98,8.1,John Huston,126
14,Pan's Labyrinth,Drama,2006,98,8.7,Guillermo del Toro,118
15,Some Like It Hot,Comedy,1959,98,8.4,Billy Wilder,121
16,North by Northwest,Action,1959,98,8.0,Alfred Hitchcock,136
17,Hoop Dreams,Drama,1994,98,7.9,Steve James,170
18,Rashomon,Drama,1951,98,8.6,Akira Kurosawa,88
19,All About Eve,Drama,1950,98,8.8,Joseph L. Mankiewicz,138
20,Jules and Jim,Drama,1962,97,6.4,François Truffaut,105
21,The Wild Bunch,Action,1969,97,7.4,Sam Peckinpah,135
22,My Left Foot,Biography,1989,97,8.3,Jim Sheridan,103
23,The Third Man,Mystery,1949,97,8.5,Carol Reed,104
24,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Thriller,1964,97,8.4,Stanley Kubrick,95
25,"Quo Vadis, Aida?",Drama,2021,97,8.0,Jasmila Zbanic,101
26,Gone with the Wind,Drama,1940,97,8.3,George Cukor and Sam Wood and Victor Fleming,238
27,"4 Months, 3 Weeks and 2 Days",Drama,2008,97,7.9,Cristian Mungiu,113
28,Psycho,Mystery,1960,97,8.9,Alfred Hitchcock,109
29,Battleship Potemkin,Drama,1926,97,8.3,Sergei M. Eisenstein,75
30,A Streetcar Named Desire,Drama,1951,97,8.2,Elia Kazan,122
31,The Maltese Falcon,Mystery,1941,97,7.9,John Huston,100
32,American Graffiti,Drama,1973,97,7.5,George Lucas,110
33,Dumbo,Drama,1941,96,7.7,Ben Sharpsteen and Bill Roberts and Jack Kinney and John Elliotte and Norman Ferguson and Samuel Armstrong and Wilfred Jackson,64
34,Roma,Drama,2018,96,7.7,Alfonso Cuarón,135
35,Parasite,Drama,2019,96,8.7,Joon-ho Bong,132
36,Ran,Action,1985,96,8.4,Akira Kurosawa,162
37,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary,2021,96,7.4,Ahmir-Khalib Thompson,117
38,The Shop Around the Corner,Drama,1940,96,6.8,Ernst Lubitsch,99
39,12 Angry Men,Drama,1957,96,8.9,Sidney Lumet,96
40,Rosemary's Baby,Drama,1968,96,8.2,Roman Polanski,137
41,12 Years a Slave,Biography,2013,96,8.0,Steve McQueen,134
42,Manchester by the Sea,Drama,2016,96,8.2,Kenneth Lonergan,137
43,Killer of Sheep,Drama,2007,96,6.8,Charles Burnett,80
44,Nashville,Drama,1975,96,8.0,Robert Altman,160
45,Ratatouille,Fantasy,2007,96,8.6,Brad Bird,111
46,The Grapes of Wrath,Drama,1940,96,8.6,John Ford,129
47,Mean Streets,Drama,1973,96,7.3,Martin Scorsese,112
49,The Lady Eve,Comedy,1941,96,6.4,Preston Sturges,94
